,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26
10,4.0528803,4.2682514,4.50677,4.7702236,5.0605955,5.3800697,5.7310534,6.116176,6.538307,7.0005736,7.506367,8.059363,8.663523,9.323121,10.042749,10.827321,11.682093,12.612657,13.624959,14.72528,15.920239,17.216791,18.6222,20.144012,21.79003,23.568268,25.48691,27.554228,29.7785,32.16796,34.73065,37.474308,40.40624,43.533154,46.861,50.39478,54.138317,58.094086,62.262913,66.64379,71.23361,76.02692,81.01563,86.18882,91.53254,97.02951,102.659065,108.3969,114.215126,120.08218,125.962814,131.81833,137.6067,143.28294,148.79944,154.10643,159.1527,163.88612,168.25447,172.20943,175.71729,178.75114,181.28813,183.3098,184.80214,185.756,186.16682,186.0349,185.36519,184.16718,182.45477,180.24602,177.56282,174.43056,170.87788,166.93608,162.63885,158.02185,153.12209,147.97763,142.62717,137.10936,131.4627,125.724915,119.932625,114.12106,108.3237,102.57197,96.895096,91.31986,85.870445,80.56839,75.43243,70.47861,65.72021,61.167824,56.829525,52.71086,48.815125,45.143436,41.695004,38.467255,35.456097,32.65609,30.06069,27.662424,25.453104,23.424025,21.566114,19.870129,18.32679,16.926912,15.661567,14.522135,13.500456,12.588896,11.780444
11,1.1112549,1.1486584,1.1937163,1.2468883,1.3087527,1.3800079,1.4614835,1.5541459,1.6591102,1.7776551,1.9112369,2.0615067,2.230327,2.4197974,2.6322749,2.8703976,3.1371145,3.435709,3.7698343,4.143536,4.5612917,5.028032,5.549182,6.1306734,6.778982,7.5011444,8.304766,9.198034,10.189703,11.289089,12.506019,13.850791,15.33409,16.96689,18.760315,20.725492,22.87333,25.214293,27.758121,30.513504,33.48772,36.686264,40.11234,43.76648,47.646008,51.744568,56.051605,60.551956,65.225365,70.04617,74.98306,79.998856,85.05058,90.08961,95.06199,99.90908,104.56822,108.97394,113.05892,116.7599,120.03275,122.84275,125.16107,126.9655,128.24051,128.97763,129.17528,128.83878,127.979935,126.61682,124.77307,122.47744,119.76298,116.66643,113.227425,109.48774,105.49039,101.27912,96.89751,92.388374,87.793236,83.1517,78.501114,73.876076,69.30821,64.826065,60.45478,56.216125,52.128548,48.20714,44.463825,40.90747,37.544113,34.37716,31.40764,28.634466,26.054693,23.663755,21.455763,19.423725,17.559784,15.855445,14.3017645,12.889526,11.609416,10.452147,9.408571,8.469802,7.627263,6.8727727,6.1985793,5.5974007,5.0624394,4.587393,4.166462,3.7943394,3.4662004
12,2.5333638,2.6617348,2.8021832,2.9555225,3.122642,3.304507,3.5021644,3.7167444,3.9494603,4.201619,4.474617,4.7699494,5.0892034,5.434072,5.806347,6.2079234,6.640801,7.1070814,7.608972,8.148774,8.728886,9.351798,10.020082,10.7363825,11.503402,12.323894,13.200641,14.136432,15.134046,16.196213,17.325602,18.524765,19.79612,21.141876,22.564026,24.064268,25.64396,27.304052,29.045038,30.866869,32.768917,34.74987,36.807705,38.939568,41.14177,43.409637,45.737576,48.118896,50.545864,53.009624,55.500214,58.006523,60.516376,63.01648,65.49258,67.92945,70.31113,72.620834,74.84135,76.95573,78.94965,80.809875,82.523674,84.078995,85.4646,86.670166,87.68643,88.505295,89.1199,89.52482,89.715996,89.69091,89.4486,88.989685,88.31642,87.43271,86.34394,85.05715,83.5808,81.924805,80.10036,78.119865,75.996765,73.74545,71.381,68.91906,66.37575,63.76733,61.110107,58.420223,55.713505,53.005257,50.310123,47.641968,45.013706,42.437233,39.92333,37.48158,35.12034,32.846725,30.666624,28.584656,26.604288,24.727825,22.95652,21.290644,19.729559,18.271858,16.915413,15.65752,14.494983,13.424232,12.441402,11.542438,10.723185,9.979461,9.307139
13,3.0937483,3.3908858,3.7173305,4.075514,4.4680037,4.897498,5.366828,5.878944,6.436909,7.0438914,7.703147,8.41801,9.19186,10.02812,10.930218,11.901558,12.945497,14.065302,15.264115,16.544909,17.910437,19.363207,20.90539,22.538797,24.264803,26.0843,27.997637,30.004538,32.104042,34.294476,36.573345,38.9373,41.38209,43.902485,46.492252,49.14414,51.849808,54.59982,57.383675,60.189774,63.00549,65.81718,68.6102,71.369125,74.07768,76.71896,79.27553,81.72961,84.06317,86.25826,88.29709,90.16225,91.837074,93.30572,94.55346,95.56698,96.33447,96.84598,97.09349,97.0727,96.78742,96.24507,95.45516,94.42889,93.179085,91.719925,90.06662,88.23535,86.24286,84.10635,81.84325,79.47098,77.00679,74.4676,71.86987,69.22945,66.56144,63.880177,61.19909,58.53068,55.886482,53.277008,50.711777,48.199284,45.746998,43.361454,41.048214,38.811928,36.65638,34.584545,32.5986,30.700035,28.889685,27.167778,25.534,23.98756,22.52725,21.151484,19.858366,18.645737,17.511236,16.452333,15.466383,14.550662,13.702425,12.91892,12.197441,11.535365,10.930169,10.379482,9.8811035,9.433044,9.033569,8.681222,8.374883,8.113817,7.8977447
14,5.8337913,5.8436255,5.8821077,5.9486256,6.042959,6.165239,6.3159328,6.495819,6.705978,6.947794,7.222946,7.5334163,7.881487,8.269756,8.701148,9.178916,9.706662,10.288347,10.9283085,11.631258,12.4023075,13.246967,14.171161,15.181205,16.283829,17.48614,18.795626,20.220106,21.76769,23.446724,25.26573,27.2333,29.358,31.648228,34.112057,36.757095,39.590244,42.61747,45.843575,49.271896,52.90401,56.73945,60.77528,65.00586,69.42245,74.012856,78.76115,83.647415,88.647446,93.73262,98.869835,104.02139,109.14531,114.1954,119.1216,123.87075,128.38693,132.61255,136.48915,139.9629,142.99919,145.57216,147.66075,149.24918,150.32698,150.88914,150.93604,150.47328,149.51164,148.06668,146.15834,143.81067,141.05132,137.91103,134.42307,130.62276,126.54696,122.23346,117.72049,113.04619,108.24818,103.36312,98.42631,93.471306,88.52968,83.63076,78.80145,74.066025,69.44608,64.96052,60.625458,56.454376,52.458088,48.644913,45.020786,41.589424,38.3525,35.309807,32.459484,29.798212,27.321398,25.023382,22.89763,20.936914,19.13347,17.47918,15.965691,14.584567,13.327389,12.185858,11.151879,10.217646,9.375681,8.618903,7.940649,7.3347197,6.7953906
15,26.834837,27.303785,27.829735,28.413113,29.05458,29.755056,30.515663,31.33775,32.222813,33.172592,34.188972,35.274,36.429882,37.658966,38.96375,40.346848,41.81099,43.35901,44.993847,46.718494,48.53603,50.449554,52.462242,54.577206,56.797577,59.126427,61.566776,64.12151,66.793365,69.58492,72.49853,75.53625,78.69983,81.99066,85.409676,88.9574,92.63369,96.437904,100.36866,104.42384,108.600525,112.89495,117.302315,121.81685,126.43176,131.13905,135.92952,140.79277,145.71718,150.6897,155.6961,160.72075,165.74675,170.75589,175.72878,180.64488,185.4825,190.21913,194.83131,199.29453,203.58177,207.66495,211.51547,215.1045,218.40324,221.3831,224.016,226.27472,228.1333,229.56732,230.55415,231.07353,231.10768,230.64204,229.66513,228.1692,226.1504,223.6091,220.54993,216.982,212.91913,208.37947,203.3858,197.9652,192.14879,185.97145,179.47151,172.69022,165.6711,158.45966,151.1024,143.6466,136.1393,128.62683,121.1541,113.764084,106.497185,99.390755,92.47879,85.79143,79.35481,73.19093,67.317474,61.747955,56.491726,51.554203,46.937107,42.638763,38.6544,34.976555,31.595469,28.499468,25.67535,23.108742,20.784513,18.68704,16.800552
16,0.24209517,0.26806417,0.29675785,0.3284048,0.36324432,0.4015245,0.443502,0.4894399,0.5396064,0.59427315,0.6537128,0.7181971,0.7879933,0.8633628,0.94455695,1.0318141,1.1253573,1.2253883,1.3320875,1.445607,1.5660685,1.6935595,1.8281296,1.9697871,2.118494,2.2741659,2.4366665,2.6058052,2.7813363,2.9629557,3.1502979,3.3429391,3.5403922,3.7421086,3.9474804,4.1558385,4.3664546,4.5785475,4.791281,5.003772,5.2150908,5.424272,5.6303134,5.83219,6.028855,6.21925,6.402317,6.5770006,6.742262,6.8970866,7.0404983,7.1715593,7.289393,7.393186,7.4821978,7.555775,7.6133533,7.6544704,7.6787724,7.6860867,7.6766205,7.650768,7.6090217,7.5519695,7.4802837,7.394707,7.2960477,7.1851635,7.062953,6.9303493,6.7883015,6.637775,6.4797387,6.3151565,6.1449804,5.970145,5.7915616,5.610113,5.4266477,5.2419767,5.0568733,4.8720655,4.6882386,4.506031,4.3260326,4.1487875,3.9747925,3.804496,3.6383004,3.4765618,3.3195922,3.1676605,3.0209963,2.8797884,2.7441885,2.6143155,2.4902575,2.3720706,2.2597866,2.153414,2.0529423,1.9583422,1.869573,1.7865834,1.7093158,1.6377112,1.5717114,1.5112664,1.4563347,1.4068938,1.3629416,1.3245064,1.2916532,1.2644929,1.2431941,1.2279967,1.2192284
17,5.9304686,6.6601696,7.4792295,8.397083,9.423896,10.570556,11.848692,13.27065,14.849475,16.598902,18.533272,20.667524,23.017073,25.597742,28.425665,31.517132,34.888466,38.555843,42.535103,46.841564,51.489754,56.493183,61.86412,67.61323,73.7493,80.27898,87.20639,94.53284,102.25644,110.37185,118.86993,127.737366,136.9565,146.50497,156.35556,166.47598,176.82886,187.37143,198.0558,208.8289,219.6327,230.40448,241.07715,251.5798,261.83826,271.77563,281.31323,290.3715,298.87082,306.73264,313.88074,320.242,325.74786,330.3358,333.94968,336.54172,338.07294,338.5143,337.84756,336.07275,333.22946,329.37415,324.57123,318.89227,312.4139,305.21646,297.38272,288.99646,280.14124,270.8993,261.3504,251.5713,241.63492,231.60965,221.5591,211.54178,201.61072,191.81374,182.19312,172.78578,163.62369,154.73366,146.13794,137.85432,129.89651,122.27451,114.99483,108.0609,101.47346,95.23077,89.32895,83.76239,78.52388,73.604965,68.996155,64.68717,60.667168,56.92488,53.44882,50.22744,47.249283,44.503082,41.9779,39.66324,37.549118,35.6262,33.88585,32.320286,30.922619,29.686987,28.60868,27.6843,26.9119,26.291237,25.824017,25.51426,25.368732
18,3.574255,3.4217641,3.29487,3.1905181,3.1062224,3.0399606,2.9901,2.9553277,2.9346056,2.9271286,2.9322915,2.9496665,2.9789772,3.020091,3.0729976,3.137804,3.2147279,3.3040855,3.4062948,3.5218644,3.651398,3.7955859,3.9552095,4.1311336,4.3243084,4.5357695,4.7666297,5.01808,5.291384,5.5878744,5.908939,6.2560234,6.630607,7.0341983,7.4683104,7.934453,8.434093,8.968644,9.539419,10.147607,10.794225,11.480084,12.205728,12.971387,13.776928,14.621786,15.504914,16.42471,17.378965,18.364815,19.37866,20.416151,21.472132,22.54062,23.614794,24.687016,25.748829,26.791044,27.803772,28.777252,29.704226,30.578241,31.393116,32.142982,32.822376,33.426285,33.950195,34.39018,34.742916,35.005764,35.176723,35.25457,35.238785,35.12959,34.927975,34.635628,34.255,33.789192,33.24198,32.617744,31.92142,31.158442,30.334671,29.456345,28.529963,27.562254,26.560062,25.530294,24.479816,23.415388,22.343601,21.270788,20.20298,19.145851,18.104652,17.084196,16.088814,15.122342,14.188099,13.288887,12.427011,11.604269,10.821987,10.081038,9.38188,8.724582,8.10887,7.534171,6.9996424,6.504228,6.0466924,5.6256666,5.2396884,4.8872337,4.566761,4.27674,4.015688
19,2.6092355,2.6478572,2.6980011,2.759793,2.8334858,2.9194481,3.0181694,3.1302495,3.256403,3.3974626,3.5543766,3.728218,3.9201794,4.131589,4.363909,4.618738,4.8978276,5.2030745,5.5365396,5.9004374,6.297155,6.7292438,7.199432,7.7106085,8.265839,8.868345,9.521512,10.228859,10.994033,11.820789,12.71296,13.67442,14.70905,15.820686,17.013058,18.28974,19.654058,21.109016,22.65721,24.300695,26.040903,27.878534,29.813377,31.844234,33.96876,36.18333,38.48291,40.860924,43.309166,45.81769,48.374706,50.96658,53.57778,56.190918,58.7868,61.344543,63.841743,66.254684,68.55858,70.72944,72.749084,74.60163,76.272415,77.74813,79.01693,80.06873,80.8952,81.489975,81.84863,81.96883,81.85026,81.49472,80.90603,80.08998,79.05425,77.80828,76.363205,74.73159,72.92736,70.96558,68.86226,66.63407,64.298294,61.872486,59.374275,56.821205,54.23053,51.619003,49.002712,46.396935,43.816013,41.27322,38.780666,36.349255,33.9886,31.707018,29.511528,27.407835,25.400404,23.49248,21.686157,19.982468,18.381443,16.882242,15.483211,14.182017,12.975721,11.860911,10.833765,9.890168,9.025783,8.236146,7.516728,6.862995,6.2704816,5.7348194,5.2517953
